bfs_nr,municipality,canton,bfs_municipality_type_2012_25,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
5515,Bretigny-sur-Morrens,VD,226,0.037425,25,2024-09-30,0,,2024-10-21,0.050817,311,2024-09-09,0.238411,36,115,69,0.986547,2024-08-16,3.3788,2.1385,3024,1914,2023-09-01,2024-08-31,0.276,247,0,247,0,0,0,2023-10-01,2024-09-30
5516,Cugy (VD),VD,226,0.057448,113,2024-09-30,0,,2024-10-21,0.11954,2244,2024-10-07,0.241007,134,422,261,0.969158,2024-10-15,4.1097,2.1134,10991,5652,2023-09-01,2024-08-31,0.6592,1763,0,1763,0,0,0,2023-10-01,2024-09-30
5518,Echallens,VD,217,0.03969,159,2024-09-30,6,26.5,2024-10-21,0.15877,5740,2024-10-07,0.232839,251,827,557,0.980804,2024-10-15,4.2714,1.935,24979,11316,2023-09-01,2024-08-31,0.79,4620,0,4620,0,0,0,2023-10-01,2024-09-30
5520,Essertines-sur-Yverdon,VD,237,0.062271,51,2024-09-30,2,25.5,2024-10-21,0.15222,2167,2024-10-07,0.415771,116,163,146,0.955056,2024-10-04,4.1577,2.4685,4615,2740,2023-09-01,2024-08-31,1.4937,1658,0,1658,0,0,0,2023-10-01,2024-09-30
5521,Etagnières,VD,227,0.044068,39,2024-09-30,2,19.5,2024-10-21,0.12629,1517,2024-10-07,0.261261,58,164,129,0.966942,2024-10-15,4.9217,1.9241,5722,2237,2023-09-01,2024-08-31,1.0502,1221,0,1221,0,0,0,2023-10-01,2024-09-30
5522,Fey,VD,236,0.039356,22,2024-09-30,1,22.0,2024-10-21,0.06688,502,2024-10-07,0.445026,85,106,145,0.979592,2024-07-10,3.9431,2.5041,2910,1848,2023-09-01,2024-08-31,0.5474,404,0,404,0,0,0,2023-10-01,2024-09-30
5523,Froideville,VD,227,0.047037,77,2024-09-30,1,77.0,2024-10-21,0.124959,1925,2024-10-07,0.249573,146,439,310,0.957219,2024-10-24,2.7971,2.1116,7814,5899,2023-09-01,2024-08-31,0.5609,1567,0,1567,0,0,0,2023-10-01,2024-09-30
5527,Morrens (VD),VD,227,0.072848,55,2024-09-30,0,,2024-10-21,0.095544,834,2024-08-06,0.344156,106,202,182,0.989899,2024-10-04,3.6153,2.5964,4407,3165,2023-09-01,2024-08-31,0.5431,662,0,662,0,0,0,2023-10-01,2024-09-30
5529,Oulens-sous-Echallens,VD,237,0.060797,29,2024-09-30,0,,2024-10-21,0.057066,464,2024-08-06,0.36,54,96,130,0.97561,2024-10-24,3.8103,2.2163,2290,1332,2023-09-01,2024-08-31,0.6156,370,0,370,0,0,0,2023-10-01,2024-09-30
5530,Pailly,VD,235,0.061275,25,2024-09-30,0,,2024-10-21,0.184648,1489,2024-09-09,0.298246,51,120,96,0.98524,2024-05-15,4.6485,2.5044,2645,1425,2023-09-01,2024-08-31,2.0668,1176,0,1176,0,0,0,2023-10-01,2024-09-30
5531,Penthéréaz,VD,237,0.050898,17,2024-09-30,0,,2024-10-21,0.100294,648,2024-10-07,0.462185,55,64,104,0.986726,2024-06-19,5.3765,3.0326,2342,1321,2023-09-01,2024-08-31,1.1547,503,0,503,0,0,0,2023-10-01,2024-09-30
5533,Poliez-Pittet,VD,236,0.039454,26,2024-09-30,0,,2024-10-21,0.052926,454,2024-10-28,0.198895,36,145,93,0.968198,2024-05-15,3.5947,1.8323,3039,1549,2023-09-01,2024-08-31,0.4353,368,0,368,0,0,0,2023-10-01,2024-09-30
