period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh)
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H7,Haushalt Standard,12.666923076923077,0,12.666923076923077,36,0,11.01,Haushalt Standard,18.296923076923076,0,18.296923076923076,36,0,18.02,0,2.3,33.26384615384615
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C3,Gewerbe alle Branchen,8.144366666666667,0,8.144366666666667,0,10.4,6.9411,Gewerbe alle Branchen,18.02,0,18.02,0,0,18.02,0,2.3,28.464366666666667
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C7,Industrie,5.289738666666667,0,5.289738666666667,0,10.4,4.5,Industrie,18.02,0,18.02,0,0,18.02,0,2.3,25.609738666666665
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H5,Haushalt Standard,13.31,0,13.31,36,0,11.01,Haushalt Standard,18.5,0,18.5,36,0,18.02,0,2.3,34.11
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H3,Haushalt Standard,14.323333333333334,0,14.323333333333334,36,0,11.01,Haushalt Standard,18.82,0,18.82,36,0,18.02,0,2.3,35.443333333333335
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H4,Haushalt Standard,14.323333333333334,0,14.323333333333334,36,0,11.01,Haushalt Standard,18.82,0,18.82,36,0,18.02,0,2.3,35.443333333333335
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H8,Haushalt Standard,13.31,0,13.31,36,0,11.01,Haushalt Standard,18.5,0,18.5,36,0,18.02,0,2.3,34.11
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H1,Haushalt Standard,18.915,0,18.915,36,0,11.01,Haushalt Standard,20.27,0,20.27,36,0,18.02,0,2.3,41.485
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C5,Industrie,5.42608,0,5.42608,0,10.4,4.5,Industrie,18.02,0,18.02,0,0,18.02,0,2.3,25.74608
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H2,Haushalt Standard,15.57,0,15.57,36,0,11.01,Haushalt Standard,19.46,0,19.46,36,0,18.02,0,2.3,37.33
