operator,website,municipalityNumber,municipalityName,operatorAddress,operatorPostalCode,canton
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,99,Schöfflisdorf,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,100,Stadel,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,100,Stadel,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,101,Steinmaur,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,101,Steinmaur,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,111,Bäretswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,111,Bäretswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,111,Bäretswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,111,Bäretswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,112,Bubikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätsgenossenschaft Bubikon,www.eg-bubikon.ch,112,Bubikon,"Ritterhausstrasse, Bubikon",8608,ZH
Elektrizitätsgenossenschaft Bubikon,www.eg-bubikon.ch,112,Bubikon,"Ritterhausstrasse, Bubikon",8608,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,112,Bubikon,"Dreikönigstrasse, Zürich",8002,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,113,Dürnten,"Werkstrasse, Rüti ZH",8630,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,113,Dürnten,"Werkstrasse, Rüti ZH",8630,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,113,Dürnten,"Werkstrasse, Rüti ZH",8630,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,113,Dürnten,"Werkstrasse, Rüti ZH",8630,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,113,Dürnten,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,113,Dürnten,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,113,Dürnten,"Dreikönigstrasse, Zürich",8002,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,113,Dürnten,"Werkstrasse, Rüti ZH",8630,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,113,Dürnten,"Werkstrasse, Rüti ZH",8630,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,113,Dürnten,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,113,Dürnten,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,113,Dürnten,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,114,Fischenthal,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,114,Fischenthal,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,114,Fischenthal,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,114,Fischenthal,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,114,Fischenthal,"Dreikönigstrasse, Zürich",8002,ZH
Energie Gossau AG,www.energiegossau.ch,115,Gossau (ZH),"Berghofstrasse, Gossau ZH",8625,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,115,Gossau (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Energie Gossau AG,www.energiegossau.ch,115,Gossau (ZH),"Berghofstrasse, Gossau ZH",8625,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,115,Gossau (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,115,Gossau (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Energie Gossau AG,www.energiegossau.ch,115,Gossau (ZH),"Berghofstrasse, Gossau ZH",8625,ZH
Energie Gossau AG,www.energiegossau.ch,115,Gossau (ZH),"Berghofstrasse, Gossau ZH",8625,ZH
Energie Gossau AG,www.energiegossau.ch,115,Gossau (ZH),"Berghofstrasse, Gossau ZH",8625,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,115,Gossau (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,115,Gossau (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Energie Gossau AG,www.energiegossau.ch,115,Gossau (ZH),"Berghofstrasse, Gossau ZH",8625,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,115,Gossau (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Energie Grüningen AG,www.grueningen.ch,116,Grüningen,"Stedtligass, Grüningen",8627,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,117,Hinwil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,117,Hinwil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,117,Hinwil,"Dreikönigstrasse, Zürich",8002,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,118,Rüti (ZH),"Werkstrasse, Rüti ZH",8630,ZH
Gemeindewerke Rüti (ZH),www.gwrueti.ch,118,Rüti (ZH),"Werkstrasse, Rüti ZH",8630,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,119,Seegräben,"Dreikönigstrasse, Zürich",8002,ZH
EW WALD AG,www.ew-wald.ch,120,Wald (ZH),"Jonastrasse 12, Wald",8636,ZH
EW WALD AG,www.ew-wald.ch,120,Wald (ZH),"Jonastrasse 12, Wald",8636,ZH
EW WALD AG,www.ew-wald.ch,120,Wald (ZH),"Jonastrasse 12, Wald",8636,ZH
Stadtwerke Wetzikon,www.wetzikon.ch/stadtwerke-wetzikon,121,Wetzikon (ZH),"Schellerstrasse, Wetzikon ZH",8620,ZH
Stadtwerke Wetzikon,www.wetzikon.ch/stadtwerke-wetzikon,121,Wetzikon (ZH),"Schellerstrasse, Wetzikon ZH",8620,ZH
Stadtwerke Wetzikon,www.wetzikon.ch/stadtwerke-wetzikon,121,Wetzikon (ZH),"Schellerstrasse, Wetzikon ZH",8620,ZH
